text,categoryNumber,categoryMeaning,firstLevel,secondLevel
"The Childhood Smell of Lavender. When I was growing up, my mom would plant lavender outside my window. In the heat of summer, I could smell the lavender through my window every morning when I woke up. Our cats would sleep in it, and they would smell like lavender too. When I smell lavender now, it reminds me of my home and of being a kid.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Tropical coconut. The smell is a coconut body wash that I had purchased before going on a trip to the Bahamas when I was a teenager. It was the first time I'd ever bought that scent and I remember it smelling so sweet and tropical. The trip was fun and I made a lot of great memories with friends. Whenever I smell the scent of that brand of body wash in coconut, I'm instantly taken back to my trip to the Bahamas.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Sunday Brunch. Sunday morning breakfast at my grandpa's and grandma's house.  The smell of sausage cooking, over easy eggs fried with butter, and homemade hash browns all cooking on cast iron pans.  Although I have experienced those smells elsewhere, they never smell the same as they did at my grandparents.  There were usually 17 people or more gathered together.  The kids would all squish together onto a bench along the wall at the table.  Sometimes grandpa would pull out leftover beans or macaronis with more pepper than we were use to for us to eat also.  They were such happy days.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"My New Lunch Box. The smell experience that comes to mind was when I was in elementary school. Always before the first day of classes my mom would buy me a new lunch box. The lunch box has a certain smell to it. I remember early one morning before the first day of classes, I kept smelling the lunch box. It kept me thinking about the first day of classes, the uncertainty and feeling that comes along with meeting new people, and going to a new school.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Childhood at Grandma's. The most memorable smell to me is of my grandmother's house in the old country.  It permeates the house, the smell of caramel candy combined with the scent of daisies.  It reminds me of when I was a child and the time I spent with my grandmother, she was my babysitter at the time, while my parents were at work.  It is something I miss now that I live in the United States.  I can remember my grandmother wearing a babushka over her head as she made lunch so that her hair wouldn't fall into the food and I remember helping her and how excited I was to be helping make lunch.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Rain Sunset. One of my most fond memories of summer as a kid is standing on the front porch of my house and smelling the rain in the air.  It smells so fresh and clean and pure that it has always been one of my favorite scents.  Whenever it rains, it takes me back to that day, watching the sun set through a break in the clouds.  It was so peaceful and beautiful.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"pineing for my youth. the scents of nature are my favorite and one of the most memorable for me is the fresh smell of pine trees. when i was a child my family would take little trips all around the area we lived visiting different parks and places of interest. one of my favorite was a state park call white pines state park and we would visit there periodically. as the name would indicate it was heavily wooded with beautiful tall pine trees, and the fresh, incredibly pungent scent given off in these woods was so invigorating and clean that it would leave an indelible impression and memory  that i can smell  to this day. every time i smell that lovely pine scent im carried back to those days of my youth in the great pine forest.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"That New Book Smell. When I open a new book. The way the fresh pages smell makes me feel relaxed and comfortable. And also knowing that that book and sent is mine now, makes me feel happy.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Summer's with my grandmother. The smell of gardenias that grew outside of my grandmother's house.  I would get to spend a couple of weeks ever summer with just my grandmother and we would always sit outside in the evenings and just talk with the neighbors (my aunts).  It was just a very special time and special memory.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The smell of clean beauty. A girl I was hanging out with had an incredible smell.  The smell was so clean and fresh.  If I could ever smell it again, it would make me very happy.  It's a smell that could make a girl even more attractive.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Soarin' Oranges. When riding on the attraction  Soarin'  at EPCOT at Walt Disney World, there is a certain moment where you fly over an orange grove and the scent of oranges fills the room. I can still remember when I first rode this ride and experienced the smell. The memory of that smell brings to mind being with my family on a great vacation, and the wonder of my first experiencing with that attraction.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"After the rain. One particular memory/smell is the smell of hot asphalt after it rains. It reminds me of getting to go outside to play in the Summer. I recall being a kid and in the middle of a kickball game when it started to rain. We were all upset we had to go indoors. When we resumed our game right after it stopped raining, the smell of the steamy asphalt still drying from the rain was intense and I've always attached that smell to that memory.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The Smell of Summer. When I used to live at home with my mother during high school I would spend the summers walking, jogging, and biking around our part of the valley. I especially loved being outside in the evenings when the light was beautiful and the warm air smelled like the essence of summer. If I took a deep breath, I could catch the scent of pine trees and freshly mowed grass mixing with the aromas of mint and clover from the fields across the road, the smell of the dusty dirt road and hot asphalt, and the cool, wet smell of the lake half a mile away. To this day I can't help getting nostalgic whenever I smell something that reminds me of those beautiful evenings at home.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Summer Day. I am in the front yard at my parents' home in Maine.  It is daytime, warm, and sunny.  There is a breeze and my family is cooking hot dogs and burger on the grill out back.  My dad has just finished mowing the front lawn and I smell the fresh cut grass mixed with the BBQ smells.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Sweet Memories. A memorable moment I'm thinking of, was the scent of honeysuckle at my Mother and Father's home. They had sweet smelling honeysuckle vines that wrapped around the lattice work on their patio. This is particularly memorable and meaningful to me, as I remember sitting on the patio with my Mother and Father and visiting and sharing our thoughts and some funny stories.  We were all drinking tea on a nice spring day. There was a slight breeze. The breeze would blow the scent of the honeysuckle our way. This is a particularly positive memory for me as both of my parents have now passed away.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Heavenly Grass!. I remember the smell of my father cutting the grass at home. It was heavenly to me and even now when I smell the smell of fresh mowed lawn it takes me back to my childhood. I love it! It's very positive to me.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Apricot Scrub and Girl Talk. The smell of Apricot Scrub always makes me smile. My grandma used to put it on her face about once a week and the nights I stayed at her house, she let me do it too. She was in a wheelchair and had a pretty small bathroom, but we used to find a way for both of us to fit in front of the sink. We would coat our faces with it, and then I'd sit on the side of the bathtub and we would have 'girl talk' for 5 or 10 minutes. When the time was up, she would wash her face off first and then help me wash mine off. My grandma passed away when I was 11, and it's been almost 20 years since our Apricot Scrub/Girl Talk sessions, but I still remember them so clearly whenever I smell it.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Illinois Pumpkin Patch. One of my most memorable times involving smell was at an Illinois Pumpkin Patch. The smells in the air were amazing. The air smelled of fall time, fresh pumpkins and straw. There were pumpkins everywhere, a hay ride, a corn maze, and other various fun fall activities. The smell of everything added to the experience.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Nostalgia trigger. Everytime I smell Happy perfume by Clinique, I am taken immediately back to the days of being a teenager.  It was especially during the time that I was in the 9th/10th grade at Northwest Guilford High School.  That was my absolute favorite smell in the entire world, and reminds me of going out to football games, school dances, walking into class, etc...",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
New House Smell. One moment of a personal smell experience that brings a positive feeling to me is when I bought my house. The house was brand new and it had that new house smell. I remember feeling so happy that my wife and I were buying the house of our dreams. Every time I go to a house and smell that smell it brings back to when I first bought our house and how happy we were.,cat1,Associating the past with a smell,connecting,linked to a positive life event
"New House. When I bought my first house two years ago, walking in for the first time there was a specific smell, a freshness to the air.  Sometimes when walking into the house now I get that same smell in the air, usually in the spring/summer time and it takes me back to the months I spent renovating, painting, cleaning the new house to get it ready to move in. It was a time of hard work, but memorable and enjoyable",cat1,Associating the past with a smell,connecting,linked to a positive life event
New Home. The most memorable smell experience I can think of would be the smell of our new house. When we first came to see the house with the realtor I can smell the new paint on the walls. The new carpet smell overwhelmed the bedrooms. It just smelt like home. It is definitely an experience that I will never forget.,cat1,Associating the past with a smell,connecting,linked to a positive life event
"Wedding Day. I got married on a beach. Specifically a sandy beach on the shore of Lake Tahoe. I remember smelling the crisp mountain air and water and certain beach smells. Lakes smell much different from oceans and on that morning I could smell everything around me. The way the sand and water mixed together, the cold wind that smelled just...clean. It was a very cold day in November and to me it smelled different than it would have had it been summer.",cat1,Associating the past with a smell,connecting,linked to a positive life event
"The Scent of Unrequited Love. When I was younger, I was in love with someone who didn't share the feelings. He slept in my bed one night after drinking a little too much (I slept elsewhere, ever the lady). The next night, I went to sleep and my pillow smelled like him. It was a fleeting pleasure, but a profound one. It seems silly now, but it was so nice to feel like we were, for a moment at least, that close together.",cat1,Associating the past with a smell,connecting,coupled to a person
"The smell of love. The first time I met my now fianc̩ in person I walked up and gave him a hug.  The smell of his cologne is ingrained in my memory forever from that moment. Subtly earthy. Reminds me of the forest floor of the redwoods. Moss, and a little bit of a sweet, yet spicy undertone that I can't place.  It made me want to breathe it in deeply to fully experience the entire depth of the smell. Now every time he wears that cologne I am brought back to the first time we met. The man of my dreams.  My soon to be husband. I love the smell.",cat1,Associating the past with a smell,connecting,coupled to a person
Lasagna. We used to go to my great grandmother's house for dinner.  She was born in Italy and was the best italian cook i've ever known.  She died in 1994 and to this day I can still smell her home cooked food.,cat1,Associating the past with a smell,connecting,coupled to a person
"Shampoo. The smell of my wife's favorite shampoo. I can usually smell it on her after she's showered and the smell tends to linger for a while, and it's still pretty strong on her pillow. It's a fairly pleasant smell that's a little fruity and flowery, but I mostly enjoy this smell because I'm associating it with her now.",cat1,Associating the past with a smell,connecting,coupled to a person
"Childhood memories at Grandma's. My most favorite smell in the whole world is lilacs.  Growing up my Grandmother had lilac bushes in her yard.  I would spend the summer with my Grandmother and would love being outside where the air was filled with the smell of lilacs.  The time I spent with my Grandmother are the happiest of my life, and when I smell the scent of lilacs, I always think of those wonderful memories.",cat1,Associating the past with a smell,connecting,coupled to a person
"Minty Fresh. When my grandmother used to cook, she used a lot of home grown herbs. One day, I remember walking into her home on a warm spring's day and being hit by the smell of mint. I had never experienced smelling mint that strong and I remember immediately falling in love with the scent; I even complimented my grandmother on her gardening. Now, every time I smell mint, I'm reminded of this day and, most importantly, of my grandmother. She passed away and whenever I smell mint, it's my symbol that she must be around, watching over me.",cat1,Associating the past with a smell,connecting,coupled to a person
Starbucks and Katie. Everytime I smell coffee I think of someone I used to date.  We would also get our coffee from starbucks.  That distinct smell of Starbucks reminds me of that.,cat1,Associating the past with a smell,connecting,coupled to a person
The Smell of a New Car. The first time I bought a new car. The 'new car smell' gave me a feeling of accomplishment. I won't forget the smell of that car because it was the first time that I had worked really hard to accomplish a long term future goal and was able to buy a new car straight off the lot. I felt as if I had set my sights on a goal and after hard work had achieved the results. The smell of the car the first time I set in it reminded me of my achievement.,cat1,Associating the past with a smell,connecting,coupled to achievement/success
"New Beginnings. My house in the summer always smells prominently of wood. When I was growing up, our house was not made of wood, so it's not something I always experienced growing up; it was only when I moved out of my college dorm and into my first apartments in older buildings that I started to experience this. The smell goes away in the fall and returns in the spring, but whenever I smell it, I think of when I first moved in and was starting my post college life.",cat1,Associating the past with a smell,connecting,linked to a new beginning
"Mom Got Hit by a Car. When I was 16, my mom was hit by a car. A woman was texting while speeding though our neighborhood and she didn't see my mom around the corner...We all spent that night in the hospital. It was the first time I'd ever been inside one, and the smell was interesting. It wasn't a bad smell, exactly, it just smelled sort of clinical and cold. It's a hard scent to describe, but every hospital I've been in since smells the same way.",cat1,Associating the past with a smell,connecting,linked to a location
"The old asylum. The Trans Allegheny Lunatic Asylum is a building that is over 150 years old, it no longer tends to patients, instead has been turned into a museum/attraction of sorts. I am one of their paranormal themed tour guides. The very first time I'd ever been in, the scent of the place was almost overwhelming- a musty, dated smell with a hint of moisture. The entire main building carries this smell, even with the renovations like new painting. Recalling how it smells, recalls other memories from within the building.",cat1,Associating the past with a smell,connecting,linked to a location
"Roast Chicken at Home. I remember walking into my parent's house. I was visiting them and I had missed my train. When I walked in I could smell the chicken that they had roasted for dinner. My mom always roasts chicken with garlic and the smell reminds me of home, even to this day it makes me feel loved and taken care of. As the chicken is baking it makes the whole house smell good. When I smelled that smell I felt loved even though I was embarrassed to be coming home late.",cat1,Associating the past with a smell,connecting,linked to a location
"mgm grandness. I can remember the smell of the first time I walked into the mgm grand casino.  I was refreshing and airy and it reminded me of openess.  I can still smell it as if it were yesterday.  Its been years since I've been there but there are some things that still remind me of it.  For instance, there is a hand lotion that smells very similar that I acquired from a wedding that whenever I want to smell the MGM grand I just open it and apply a little bit to my hands and it brings back memories.",cat1,Associating the past with a smell,connecting,linked to a location
The wonderful scents of food on the Boardwalk.. I arrived at the boardwalk on the beach and immediately noticed a very enticing smell of food cooking. It was a combination of grilled meat and fried foods and was very heavy in the air. I was there to eat at a restaurant and was very hungry. The smell in the air made my mouth water and made me acutely aware of being hungry. The smell seemed to capture an important aspect of being on the boardwalk at the beach and becomes the first thing I think of when thinking about the boardwalk.,cat1,Associating the past with a smell,connecting,linked to a location
"The smells of Paris. I often spent my holidays in Paris. My grandmother lived there. Three smells always stood out in my memory. Whenever I get a whiff of french fries of fresh baked bread I am transported to lunch time in the streets of Paris. every time I walked the streets of Paris, any street, the unavoidable scent of freshly fried french fries was in the air. It was a heavenly scent and always very appetizing. In the mornings, very early, you could smell the fresh baked bread and croissants in the air coming from all the little bakeries. But the first thing one smells, that always makes me say to myself  yep! This is Paris!  is at the airport. As soon as I open the doors that lead outside the Airport Charles de Gaulle, you can smell the fumes coming from all the cars! Who would have thought that the scent of pollution and carbon monoxide would be one's first indication that he or she has arrived at the city of lights? But it's true. Take a trip there and you'll know I'm right. Every time, over the course of 30 years, I am reminded of Paris when I scent these smells.",cat1,Associating the past with a smell,connecting,linked to a location
"Christmas Eve. The smell of kielbasa and sauerkraut, I remember always being able to smell it as soon as we walked in the door on Christmas eve. Christmas eves were usually family and close family. As a kid I never ate the kielbasa or sauerkraut but there were hotdogs for the kids. It remember the smell cause it was by far my grandmother's favorite holiday of all. She's passed now but the smell of kielbasa cooking in a pot of sauerkraut always brings me back to those nights when I know my grandmother was happy, elated, even.",cat1,Associating the past with a smell,connecting,linked to a tradition
The smell of Thanksgiving. Thanksgiving with the family. So many wonderful smells - from turkey and ham to pumpkin pies and coffee. The house smells like Thanksgiving for days! It is a warm and lovely experience.,cat1,Associating the past with a smell,connecting,linked to a tradition
"Easter Bread. My grandmother's baking Easter bread is a memorable moment of personal smell experience. It only happens once a year and it's a rather distinct smell. It's definitely a positive experience, because I love Easter bread and the  traditions  we have associated with it. We bake over 40 loaves and share them with friends and family. It's a nice thing we do every year.",cat1,Associating the past with a smell,connecting,linked to a tradition
"the car accident. I was in a hospital or about 32 months following a ca accident and the room had a particular odor to it. It is memorable as it was a very serious and traumatic time, allot going on in my life.  It is hard to describe though a pleasant smell.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"The smell is bittersweet.. When I was younger my brother and I used to go to the county fair every autumn. One particular year we went on a Friday night. I remember walking around the midway and noticing how much I liked all the smells.  The smells of Italian sausages and onions, the smell of sweet cotton candy, and even the smell of the sawdust they had covered the midway with. It was during those moments that I was actually noticing and enjoying those smells that my father found us and told us we had to leave because my mother died. To this day, anytime that I think about my mother, I can vividly smell the fair.",cat1,Associating the past with a smell,connecting,linked to a negative life event
"Sad Smell. The first time I was in a funeral home at my grandfather's funeral when I was a child. The smell is hard to describe, but I've smelled the exact same smell in later years at other funerals, and it always reminds me of that first time.",cat1,Associating the past with a smell,connecting,linked to a negative life event
"Grandma's Cooking. My grandma's cooking as I was growing up.  They took care of me a lot and she cooked every night, it was soooo good.  I miss that.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The Tunnel Under Vine Street Elementary School. It may sound strange, but outside of Vine Street Elementary School in Los Angeles (built in 1912 and still in use), there was a TUNNEL you would use to cross the street, to avoid getting run over (although I suppose in that dark tunnel there was always the possibility of murder). Anyways, when it would not rain for many days in Los Angeles, and then it did rain, the sidewalks gave off a wonderful smell (to me) : a dark, earthy aroma of rain hitting the scorching hot pavement in a low-humidity atmosphere. It was very much like dark, black, top soil on a prosperous farm. I LOVED that smell, and it was not at all like the awful, humid, suffocating copper beer yeast STINK of Milwaukee! Walking through that tunnel (in 1968-1972) was a wonderful experience because of that scent, and feeling of history. That was my favorite smell I can think of, with cigar boxes being second, or perhaps the ocean at Santa Monica, California being second!",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Grandma's baking. I remember the first time walking into my grandparents new house in town after they moved from the family farm in the country and I remember smelling fresh homemade bread and cinnamon rolls baking. It was a smell that I remembered from the farm house but it was much more memorable that day because I knew that things would still be the same even though they left the farm. It was comforting. When I smell baking bread and cinnamon rolls now I always think about that day and my grandparents. It's such a sweet and homey smell.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The Hot Illinois Summer. I can remember being ten years old. It was the first summer I started diving, and I had practices twice each day. It was late afternoon, and the sun was high in the Illinois sky. It was almost a hundred degrees out that day, and I was learning a new dive. The smell of the hot concrete that had just been hosed off combined with the chlorine in the pool and the sunscreen on my skin is vivid as I remember how scared I was to learn that new dive. It started off as a scary experience, but ended in triumph once I was finally able to do the reverse dive successfully without hitting the board or doing a belly flop.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"A door into yesterday. I loved the smell of my grandmother's house. It was a complex thing, and difficult to describe. It was the lingering ghost of ten thousand meals cooked in the kitchen, the age of the house itself, the dankness which was the result of being close to the river. I could never sum it up in a few words, but I would recognize that particular olfactory combination even after fifty years.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"My first sporting event.. The first professional sporting event I attended I can remember all the different smells that were eminating thoughout the stadium. The cinnamon roasted nuts, the hotdogs, the beer. All of it stuck with me for all these years and I cannot go to a game without remembering those smells.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
The Smell of Comics. I remember my first comic book back when I was a young kid. The smell of the pages was so wonderful. It smelled of a time capsule on paper. I was in a store in my small hometown and the old guy running it was wonderful. Now the smell always makes me think of that wonderful time as a kid.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
apples. the smell of fresh apples always brings about a memory of my mother.  she used to bake apple pies all the time and it brings me back to a great time in my life.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Endless Summer. The smell of funnel cakes being fried at a county fair.  Rich, buttery and it lingers in the hot air, enticing your hunger.    Reminds me instantly of endless summers that seemed to go on forever as a child.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Indescribable relaxation and inner peace.. When I was approximately 12 years old, I remember going to Disney World in Orlando, Florida.  I remember riding on the It's a small world ride and there was a distinct smell during the ride.  I particularly remember this experience because this smell was hard to describe but it was pleasant.  Most people wouldn't find the smell particularly pleasant but for some reason I felt that it was a pleasant smell.  The smell was something of some sort of water, and some other indescribable smell.  I remember the smell because at that moment when I experienced that smell, I felt some sense of relaxation, calmness, etc.   That smell now reminds me of a time in my life when things were relaxed, calm, and I had little worry, and I actually enjoyed life.  I was happy back then.  That smell brings me back to that time.  There have been other times since that time 20 years where I smelled some sort of smell that was somewhat similar to that smell and it struck up these memories.  This smell really brings about emotions because it reminds me of a time in my life when things were simple and life was good, as opposed to the worry, stress, and disarray of my current existence.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Playing Catch. One particular spring when I played catch with my dad stands out. My dad had just finished mowing the lawn so the smell of freshly cut grass was in the air. As we played catch my glove warmed up. The fragrance of the leather is particularly memorable.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The stairwell in my sister's building. A particularly memorable moment where I was smelling something was my last visit to my sister's apartment in New York City. Her place is a very clean, flowery smell, however the stairway in her apartment smells like sage around the first two floors. My friend and I drove to spend the night at her place and see the city during the day. I don't often smell sage, but I enjoy the slightly musky smell to it. Thinking about the smell of sage actually does help bring back the feeling of going up and down the stairs, either to return to chat at her place or to go out.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"cookie smells from my childhood. I have a vivid memory of when as a kid I could smell when my mother made homemade (well, store  bought mix) cookies in our kitchen. Its a nice memory from my childhood, and now that my parents our gone, its sometime pleasant to think back to the good time we had as a family.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Disneyland. As soon as you enter Disneyland, you walk onto Main Street. You're immediately overcome with smells that are very nostalgic in nature. They actually manufacture scents and pump them into the walkway. You can smell popcorn, bread baking, chocolate, and other random sweets. It really brings you back to your childhood. I love going to Disneyland and being overcome by these smells.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Beach. When I was about 11 my family rented a beach house for the week. I hadn't been to the beach in 5 or 6 years at this time. I remember pulling up to the house and jumping out of the backseat of my parents' car. As I jumped out of the car I was overwhelmed by the smell of the beach. I could smell the vaguely fishy odor coming from the water and this odor mixed with the smell of sunscreen and the smell of chlorine from the pool. I remember the exact unique smell to this day. In that moment the beach smell brought back pleasant memories for me and made me feel happy and excited.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Abby's Again.. Recently I moved back to my home town after being away the better part of six years. One of the places my wife and I wanted to go was a pizza place my family used to go to on Sunday's after church.  In the last few years I have lost a lot of family, so when I went back to the pizza place and the smell of it washed over me it was a very bittersweet moment. I had a lot of good times there as a kid, with people I will never see again.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The best Thanksgiving turkey. When I was seventeen my dad tried making a smoked turkey for the first time for Thanksgiving.  Since he started early in the morning, it was actually the first thing I smelled when I woke up.  Although he had previously cooked turkeys every year past,  this turkey was the best one yet.  The smell was full of herbs and seasonings, as well as a light smokey scent.  Ever since then, that smell always brings back memories of that Thanksgiving.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
Chinese Bakery. When walking into a particular bakery that I loved during my study abroad in China I can remember very clearly the smell. It was delicious and warm and sugary. It means a lot because I associate it with my experience abroad and with the crispy bakery treats I got every morning.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"The Smell of the House. This past winter I went up to the Catskills with some family friends.  These friends had recently bough a big house up in the mountains from their grandmother, after she moved to a smaller place.  I stepped in the house and was immediately greeted by a distinct smell.    It was the kind of scent you would smell when you were inside a tent or an old cabin - a thick, musty aroma that reminds one of the deep woods or of camping.  I know some people that don't like it, but personally I love the smell.    The whole house smelled like this - the furniture, the bedrooms, even the water had a faint trace of it.  And I loved it.    I knew that the week that we were staying in the house would be fun from the moment I stepped inside.  I was surrounded by some of my best friends, we had a ton of great food and a bunch of games, and we were prepared to do nothing but relax and have fun all week.  In the end, I was right - I treasure the memories of that week.    Sometimes I'll catch a whiff of that smell.  Maybe I'll be in the attic and find some old pillows.  Maybe I'll be taking a sleeping bag out of the closet.  It doesn't matter where or when; when I smell that smell, I remember great memories and I long for that week in the house again.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Fish and chips.. When I smell malt vinegar it brings me back to when I was a child, enjoying dinner after a long day at the oregon coast. Eating fish and chips with my family and buttered steamer clams. It reminds me of when times were good and it makes remember a time when I felt safe and complete within my family.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Christmas at Grandma's House. One of the most memorable smell experiences I have would have to be Christmas morning as a child at my grandmother's house. Waking up in the morning, I immediately smelled all of the delicious food being cooked downstairs. Being that my family are all Italians, they love to cook food and lots of it. The combination of having all of my family there, presents under the Christmas tree, and all of that delicious food being made is what makes the my most memorable personal smell experience.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Main Street Bakery brings back memories. When I first went to Magic Kingdom at Disney World as an adult the first thing I noticed was the smell coming out of Main Street Bakery and the ice cream shop. The smell of fresh waffle cones, cupcakes, and ice cream took over. It was such a sweet smell and now any time I smell a bakery it takes me back to that day. It was memorable because there was a parade going on, kids having fun, and just a fun atmosphere.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Christmas Ham. The smell of ham reminds me of my grandmother. Every year on Christmas she would cook a honey glazed ham for dinner. She would cook it with pineapples and the smell of honey, ham and pineapple would permeate the whole house. Playing with new toys would be secondary in importance to rumbling of my stomach induced by the intoxicating aroma of ham cooking in the kitchen. Even the smell of the sugar cookies which baking after the ham had been removed from the oven was overpowered and of lesser importance to myself and my extended family.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"smelly baking. When I was first working, I worked in a bakery and had to use smell a lot to determine when things were done or about to be done. The smells were almost always wonderful and very intense and that is one of my main memories of that job, is all the smells. One bad smell was the smell of yeast before you add it to dough. That stuff is awful.",cat1,Associating the past with a smell,connecting,linked to a positive life event
"Bank Smell. Walking into the bank when I was closing on buying my first home, I smelled the rich odor of whatever wood was used in their desks. They must have just installed new desks in the office because it was such a strong smell, and I'll always remember that whenever I walk into my home because they allowed me to purchase it!",cat1,Associating the past with a smell,connecting,linked to a positive life event
First Meeting. It was the first time I met my wife. She was the cashier for me at Target and I remember exactly what she smelled like. She smelled like peaches due to her perfume.,cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
first love. When I first got close with the girl who would become my first serious girlfriend and smelled her perfume. She was actually a girl that I had seen around school for a while and had a crush on. I was excited and nervous to be around her and will probably always remember the smell of that perfume.,cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"The Smell of His Hair. Had my first boyfriend over to my house for the first time. We cuddled on my bed and watched some TV together. That night, long after he'd left, I noticed that I could smell him (specifically the smell of his hair and shampoo) on my pillow. I loved the way he smelled, so it was nice and it made me think of the good day we'd had together earlier.",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"I fell in love with my husband's hair.. A memory of smell experience was the smell of my boyfriend's hair the first time I met him. I was sitting behind him on a bus and I noticed the nice looking young man when I first sat down. He had very nice, shoulder length hair and he must have just washed it because when I sat down I could smell how clean it was. It was amazing because not only was he cute, he smelled nice! Over the next few weeks we would often get on the bus at the same time and we ended up getting to know each other, getting together and eventually married. To this day when I smell the particular shampoo he used back then I instantly am reminded of the bus and sitting behind him, smelling his hair.",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"Smelling Love. The first time I met my girlfriend her scent was very memorable. We worked together but had never actually met in person. I was out in California and she was in Philadelphia. However, we were both in Boston at the same time and we ended up meeting one day. She smelled magnificent and it was all I could think about. I can still remember that day like it was yesterday.",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
Girlfriend. the first time i hugged my girlfriend her perfume was amazing. it was a positive smell and i cant forget it. the smell is so sweet and floral going perfect with her skin.,cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"Beautiful. I remember the smell my first girlfriend's perfume. I was 15 or 16 and we went on a date and it was my first date so we went to a coffee house, and I remember how good she smelled, and I still remember it.",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"First Broken Heart. The smell experience I am remembering was from my ex boyfriend Christian Frick.He was the first boy I had ever dated and we met at my tennis academy when I was younger. He would always wear the same cologne on each occasion I saw him. I remember the smell of the cologne like I smelled it yesterday, even though it was 8 years ago. I associate the smell of the cologne to my memories with Christian and the first memory that arises is when we would cuddle and do things together.",cat1,Associating the past with a smell,connecting,coupled to a person
jack. The smell of Obsession cologne for men reminds me of my high school boyfriend.  Smelling it again reminds me of happy times as a teenager.  It brings back memories of love and romance.  It makes me think of my boyfriend when I smell it again.,cat1,Associating the past with a smell,connecting,coupled to a person
Homecoming. I had been in an out of state summer program for 2 months and upon arriving home my fiance picked me up from the airport. He had put on his cologne (which I love) and I immediately felt at home the second I smelled it. Somehow the smell of his cologne erased any possible awkwardness at being apart all summer. I will always think of him when I smell that cologne.,cat1,Associating the past with a smell,connecting,coupled to a person
Mothballs at Grandma's. When I was a little kid and I would go to my Grandma's house it always smelled of mothballs. And even though my Grandma has passed on whenever I smell mothballs it makes me think about her and her house and all the memories I've had there.,cat1,Associating the past with a smell,connecting,coupled to a person
"Sweet smell Of A Girls Perfume. I girl I used to like in junior high school had this sweet smelling perfume and I still can remember it to this day. I don't know the name but I remember the smell vividly and I actually kissed and made out with this girl but she wound up dating someone else. To this day though If I smell perfume that is similar or maybe even the same, it reminds me of her.",cat1,Associating the past with a smell,connecting,coupled to a person
First day of work. I remember the smell of the bakery the first day of work. When i walked in i could smell the cinnamon buns that were just taken out of the oven and it left me in a very positive mood for my first day of work. I can still remember that smell today.,cat1,Associating the past with a smell,connecting,linked to a new beginning
